company_name,Inactive,listed,Branch,OwnData,country_iso,nace_code,bvd_id,nace_section,NACE Rev. 2 main section.1,bvd_sector,revenue_eur_2025,revenue_eur_2024,revenue_eur_2023,revenue_eur_2022,revenue_eur_2021,revenue_eur_2020,employees_2024,employees_2025,employees_2023,employees_2022,employees_2021,employees_2020,consolidation_code,website,isin,legal_form,date_incorporation,guo_name,guo_bvd_id,guo_country_iso,_source,total_assets_eur_2025,total_assets_eur_2024,total_assets_eur_2023,total_assets_eur_2022,total_assets_eur_2021,total_assets_eur_2020,orbis_sources,regime_classification
BOCONCEPT HOLDING A/S,No,No,No,No,DK,6499.0,DK37760250,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",167087.845152333,170688.51782267,193031.152591524,200267.630220597,163512.705390992,159160.795397014,461.0,473.0,450.0,452.0,473.0,491.0,C2,www.boconcept.com/en-us,,Public limited companies,2016-05-31 00:00:00,LAYOUT HOLDCO A/S,DK37759953,DK,bank,249648.133561473,262773.826283096,272734.748447354,272022.220997322,294389.858320151,287327.945740026,bank,CRD_IV
AURUBIS AG,No,Yes,No,No,DE,729.0,DE2150006872,B - Mining and quarrying,,Mining & Extraction,18321000.0,17256166.0,17265886.0,18750395.0,16362716.0,12459559.0,6979.0,7190.0,7230.0,6913.0,7135.0,7236.0,C2,www.aurubis.com,,Public limited companies,28/04/1866,AURUBIS AG,DE2150006872,DE,extractive,8838000.0,7846232.0,7259631.0,7447330.0,6613349.0,5533503.0,"extractive,large_mne",EU_2021_2101
EQT AB,No,Yes,No,No,SE,6619.0,SE5568494180,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",2632000.0,2652600.0,2122400.0,1497300.0,1596000.0,739100.0,1886.0,1863.0,1777.0,1669.0,1059.0,671.0,C1,www.eqtgroup.com,,Public limited companies,2011,EQT AB,SE5568494180,SE,bank,11368000.0,11481100.0,10620400.0,9602600.0,3891700.0,1622700.0,"bank,large_mne",EU_2021_2101|CRD_IV
UMICORE,No,Yes,No,No,BE,729.0,BE0401574852,B - Mining and quarrying,,Mining & Extraction,19544800.0,14926660.0,18340726.0,25625602.0,24152896.0,20752569.0,11581.0,13324.0,11948.0,14229.0,13639.0,13319.0,C1,www.umicore.com,,Public limited companies,1904-07-07 00:00:00,UMICORE,BE0401574852,BE,extractive,9459700.0,9411505.0,9965670.0,9942372.0,9045241.0,8340893.0,"extractive,large_mne",EU_2021_2101
AJANTA OY,No,No,No,No,FI,6499.0,FI07816926,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",35076.157,31623.252,35988.67,33910.776,1469.293,29653.326,6.0,6.0,6.0,8.0,10.0,69.0,C2,www.ajanta.fi,,Private limited companies,1989-11-08 00:00:00,MR ARI MIKA PETTERI SALMIVUORI,FIPP4888914779PFI,FI,bank,107890.275,74848.662,70587.369,73271.705,79744.005,83088.54,bank,CRD_IV
VAN LANSCHOT KEMPEN N.V.,No,Yes,No,No,NL,6419.0,NL16038212,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",762376.0,727342.0,671745.0,579967.0,601987.0,446913.0,2229.0,2309.0,2112.0,1780.0,1654.0,1564.0,C2,www.vanlanschot.nl,,Public limited companies,1972-01-06 00:00:00,VAN LANSCHOT KEMPEN N.V.,NL16038212,NL,bank,17778611.0,16983332.0,16835885.0,17017913.0,16306596.0,15149026.0,"bank,large_mne",CRD_IV
BANCA SISTEMA SPA,No,Yes,No,No,IT,6419.0,IT12870770158,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",172503.0,125589.0,106841.0,109676.0,111148.0,104071.0,358.0,365.0,299.0,290.0,280.0,269.0,C2,www.bancasistema.it,,Public limited companies,2011,BANCA SISTEMA SPA,IT12870770158,IT,bank,4351713.0,4702898.0,4572400.0,4397401.0,3708891.0,3671371.0,bank,CRD_IV
BANK POCZTOWY SA,No,No,No,No,PL,6419.0,PL002482470,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",138489.075934891,131460.889707434,125830.441725643,101010.924686595,61165.3221815419,70775.7910589091,1160.0,1163.0,1116.0,1087.0,1098.0,1322.0,C1,www.bp.com.pl,,Public limited companies,1990,GOVERNEMENT OF THE REPUBLIC OF POLAND - MINISTERSTWO SKARBU PANSTWA,PL012149187,PL,bank,2693613.46032518,2353469.11952512,2066570.55027657,1818436.47613489,1981577.67918956,1988304.20953489,bank,CRD_IV
IPAS INDEXO,No,Yes,No,No,LV,6612.0,LV020304298,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",6154.0,4625.0,3123.0,2278.0,1602.0,972.0,108.0,141.0,99.0,83.0,53.0,31.0,C1,indexo.lv,,Public limited companies,2017,IPAS INDEXO,LV020304298,LV,bank,283846.0,48440.0,7316.0,8793.0,2042.0,1820.0,bank,CRD_IV
BARCLAYS BANK IRELAND PLC,No,No,No,No,IE,6419.0,IE396330,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",1575000.0,1485000.0,1666000.0,1430000.0,1196000.0,847000.0,1814.0,1254.0,1816.0,1776.0,1708.0,1646.0,C2,www.barclayscorporate.com/international,,Public limited companies,2005,BARCLAYS PLC,GB00048839,GB,bank,132410000.0,138112000.0,142644000.0,132534000.0,117112000.0,134937000.0,"bank,large_mne",EU_2021_2101|CRD_IV
