bvd_id,company_name,country_iso
US391486475,MGIC INVESTMENT CORP.,US
US752677995,HALLIBURTON CO,US
US954035997,OCCIDENTAL PETROLEUM CORPORATION,US
CL97036000K,BANCO SANTANDER CHILE,CL
US731567067,DEVON ENERGY CORPORATION,US
PHPW00000121,BANK OF THE PHILIPPINE ISLANDS,PH
US862526344,"RYAN SPECIALTY HOLDINGS, INC.",US
US742480931,FREEPORT-MCMORAN INC.,US
US470684736,"EOG RESOURCES, INC.",US
GB03564138,ANGLO AMERICAN PLC,GB
US481090909,"ENCORE CAPITAL GROUP, INC.",US
US815365682,MAGNOLIA OIL & GAS CORPORATION,US
US810706839,"WARRIOR MET COAL, INC.",US
US953409686,"HELIX ENERGY SOLUTIONS GROUP, INC.",US
BM42085R,ESSENT GROUP LTD,BM
US833536151,CLARITEV CORP,US
KR1601110038524,WOORI FINANCIAL CAPITAL CO LTD,KR
TW03742301,HUA NAN COMMERCIAL BANK,TW
US363972986,"COMPASS MINERALS INTERNATIONAL, INC.",US
US251111467,"FEDERATED HERMES, INC.",US
KR1101110335649,SAMSUNG SECURITIES CO LTD,KR
RU17525770,"JOINT STOCK COMPANY ""BANK DOM.RF",RU
KR1101110346901,"SAMSUNG CARD CO., LTD",KR
US832583782,ALTA EQUIPMENT GROUP INC.,US
US453190813,"ENOVA INTERNATIONAL, INC.",US
US464500216,MOELIS & COMPANY,US
ZA200300273306,LIFE HEALTHCARE GROUP HOLDINGS LIMITED,ZA
CHCHE105923869,"UNION BANCAIRE PRIVEE, UBP SA",CH
TW70799128,TAIWAN COOPERATIVE BANK PUBLIC COMPANY,TW
US863684669,GULFPORT ENERGY CORPORATION,US
US814561945,SELECT WATER SOLUTIONS INC,US
PK0001026,UNITED BANK LIMITED,PK
AU000431827,PERPETUAL LIMITED,AU
US271204330,PRIMERICA INC.,US
US954191764,"VIRTUS INVESTMENT PARTNERS, INC.",US
KR1101110042955,DAISHIN SECURITIES CO LTD,KR
US900226248,EQUITABLE HOLDINGS INC.,US
US421406317,CENTENE CORP,US
US352145715,"ELEVANCE HEALTH, INC.",US
IR30204GN,PERSIAN GULF PETROCHEMICAL INDUSTRIES COMPANY PUBLIC JOINT STOCK,IR
US592921318,STONEX GROUP INC.,US
US610647538,HUMANA INC.,US
TW97160609,"YUANTA SECURITIES CO., LTD.",TW
GB10399850,LLOYDS BANK CORPORATE MARKETS PLC,GB
OM1145738,BANK MUSCAT SAOG,OM
US331089684,ARES CAPITAL CORPORATION,US
US943339273,"SELECTQUOTE, INC.",US
US832456358,TRADEWEB MARKETS INC.,US
VN0100230800,VIETNAM TECHNOLOGICAL AND COMMERCIAL JOINT-STOCK BANK - TECHCOMBANK,VN
US720487776,TIDEWATER INC.,US
GBSC090312,NATWEST MARKETS PLC,GB
KR1101110098130,NH INVESTMENT & SECURITIES CO LTD,KR
US96037NU,HESS MIDSTREAM LP,US
US431698480,"FERRELLGAS PARTNERS, L.P.",US
US800882793,"PENNYMAC FINANCIAL SERVICES, INC",US
CHCHE101329561,UBS AG,CH
CAFEB33405,ROYAL BANK OF CANADA,CA
US134204626,MOLINA HEALTHCARE INC.,US
US410518860,"THE TRAVELERS COMPANIES, INC.",US
CAFEB33411,TORONTO DOMINION BANK,CA
US260267673,VISA INC,US
CHCHE114425464,CHUBB VERSICHERUNGEN (SCHWEIZ) AG,CH
US134075851,"METLIFE, INC.",US
PK0037618,MEEZAN BANK LIMITED,PK
IR30283GN,PARSIAN OIL & GAS DEVELOPMENT GROUP COMPANY PUBLIC JOINT STOCK,IR
US363871531,THE ALLSTATE CORPORATION,US
US470813844,BERKSHIRE HATHAWAY INC.,US
US340963169,THE PROGRESSIVE CORPORATION,US
US223703799,"PRUDENTIAL FINANCIAL, INC.",US
PK0038403,OIL & GAS DEVELOPMENT COMPANY LIMITED,PK
PK0000760,SUI SOUTHERN GAS COMPANY LIMITED,PK
US581550825,RPC INC,US
US320420206,"VIRTU FINANCIAL, INC",US
US134172551,MASTERCARD INCORPORATED,US
PK0000378,PAKISTAN PETROLEUM LIMITED,PK
ID40470FD,PT ALAMTRI MINERALS INDONESIA TBK,ID
GBOC341875,YORKSHIRE BUILDING SOCIETY,GB
US520883107,FEDERAL NATIONAL MORTGAGE ASSOCIATION,US
GB00002065,LLOYDS BANK PLC,GB
US320174431,BLACKROCK INC.,US
US133317783,"THE HARTFORD INSURANCE GROUP, INC.",US
US132592361,AMERICAN INTERNATIONAL GROUP INC.,US
CAFEB33410,CANADIAN IMPERIAL BANK OF COMMERCE,CA
US260426107,KKR & CO INC,US
KR1101113975517,"KB FINANCIAL GROUP, INC",KR
CR4000001021,BANCO NACIONAL DE COSTA RICA,CR
BR60746948000112,BANCO BRADESCO SA,BR
CAFEB33408,BANK OF MONTREAL,CA
GB01026167,BARCLAYS BANK PLC,GB
IR30208GN,TA'MIN PETROLEUM AND PETROCHEMICAL INVESTMENT COMPANY PUPLIC JOINT STOCK,IR
