mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ACCIONA,2020,Construction,ESP,Spain,ESP,Spain,2673000000,367000000,-700000,20860,NA,51000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,DEU,Germany,12000000,75000000,-100000,428,NA,-8000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,MEX,Mexico,238000000,54000000,7100000,1978,NA,19000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,AUS,Australia,881000000,33000000,0,1704,NA,13000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,POL,Poland,335000000,19000000,1400000,1523,NA,4000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,SAU,Saudi Arabia,329000000,10000000,6600000,131,NA,6000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,PRT,Portugal,152000000,9000000,5200000,2015,NA,7000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,BRA,Brazil,44000000,-8000000,200000,390,NA,-16000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,USA,United States of America,71000000,-41000000,0,184,NA,-6000000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,CAN,Canada,327000000,-44000000,100000,1379,NA,-100000,NA,NA,NA,NA,EUR
ACCIONA,2020,Construction,ESP,Spain,OTHER,Other,1409000000,35000000,24800000,7763,NA,27000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,ESP,Spain,3134000000,525000000,30900000,20139,NA,26000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,DEU,Germany,11000000,-75000000,100000,430,NA,8000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,MEX,Mexico,254000000,49000000,10300000,2524,NA,24000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,AUS,Australia,1433000000,-3000000,100000,2759,NA,7000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,POL,Poland,337000000,26000000,5000000,1501,NA,6000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,SAU,Saudi Arabia,409000000,22000000,6700000,160,NA,6000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,PRT,Portugal,180000000,18000000,2700000,1610,NA,6000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,BRA,Brazil,204000000,28000000,3600000,1614,NA,10000000,NA,NA,NA,NA,EUR
ACCIONA,2021,Construction,ESP,Spain,USA,United States of America,155000000,4000000,200000,200,NA,26000000,NA,NA,NA,NA,EUR
